"CASP__CON"	"CASP__WD"	"CASP__WD.R"	"CASP__WL"	"CASP__WL.R"	"CMZ__CON"	"CMZ__WD"	"CMZ__WD.R"	"CMZ__PLATE"	"CMZ__WL"	"CMZ__WL.R"	"EXP__FIELD"	"HMA__FIELD"	"LSI1__CON"	"LSI1__WD"	"LSI1__WD.R"	"LSI1__FIELD"	"LSI1__WL"	"LSI1__WL.R"	"NRAMP__FIELD"	"QHB__CON"	"QHB__WD"	"QHB__FIELD"	"QHB__PLATE"	"RSS1__CON2"	"RSS1__CON"	"RSS1__WD"	"RSS1__WD.R"	"RSS1__FIELD"	"RSS1__PLATE"	"RSS1__SUB"	"RSS1__SUB.R"	"RSS1__WL"	"RSS1__WL.R"	"SCR__CON"	"SCR__WD"	"SCR__WD.R"	"SCR__PLATE"	"SCR__WL"	"SCR__WL.R"	"SHR__FIELD"	"SHR__PLATE"	"polyA__CON2"	"polyA__CON"	"polyA__WD"	"polyA__WD.R"	"polyA__FIELD"	"polyA__PLATE"	"polyA__SUB"	"polyA__SUB.R"	"polyA__WL"	"polyA__WL.R"	"X35S__CON2"	"X35S__CON"	"X35S__WD"	"X35S__WD.R"	"X35S__FIELD"	"X35S__PLATE"	"X35S__SUB"	"X35S__SUB.R"	"X35S__WL"	"X35S__WL.R"
"OS01G0720500"	52.95648104	25.6747625	32.52067174	7.551097639	49.75324329	13.4535356	3.219774518	7.134808311	14.08692736	34.62335968	14.52153176	2.916084487	3.615224395	3.636062999	3.139647796	4.268561206	4.523340729	4.311228808	3.928211596	16.67056745	2.46427552	7.222466268	4.7712866	6.889025108	3.964203295	9.990026855	2.27744353	5.060896073	1.52610516	26.27466154	7.69901574	3.960850508	25.86043062	4.008073178	6.200141094	15.52142671	6.463304927	24.52379343	44.34934431	33.30510427	6.665917748	18.09730972	2.068131514	2.832545094	2.715099572	2.167642436	1.942639687	39.54554821	2.294725472	2.217865685	3.118966147	1.890622285	2.27341494	1.76988672	3.247516987	2.10774142	1.823753963	519.1050249	6.129645277	2.582037008	1.773287991	2.192356424
"OS01G0750400"	0.617591895	0.602124879	2.187766532	0.267050827	0.794832543	0.418988872	0.799339992	0.50129383	1.830818799	4.107843222	0.687402987	2.492899294	0.296701906	0.338012622	0.348933955	0.384998698	0.472829534	0.453038847	0.41393641	2.084632283	66.6593868	6.483993517	40.36654167	42.9069852	0.821580645	0.448272937	0.703464157	0.828891625	0.55036229	0.286576957	1.235440773	0.981529116	1.085807741	0.606385207	0.320327052	1.230135689	0.465505057	0.501535437	0.708122552	0.841466559	3.309659448	2.494119374	0.587892839	0.412150166	0.325539622	0.312008854	0.318737943	0.40986122	0.173046847	0.520843467	0.596255362	0.336526772	0.274479663	0.180039446	0.235439273	0.274161259	0.355952601	0.499989391	0.442197642	0.717080863	0.312737956	0.287575523
"OS01G0756700"	1.204715226	0.904372576	0.956310125	0.106848938	1.003820894	1.996762478	0.234720089	1.827388541	0.2031833	0.326352484	0.275034832	2.607122115	1.214073531	0.245944168	0.250788607	0.411483469	0.326130216	0.368317154	0.165618906	41.70996854	0.211415043	0.176360651	0.14258103	0.385312521	0.748337536	0.214431165	0.184465732	0.439750661	1.571614488	0.127128761	0.219199685	0.300661366	0.089660603	0.084216776	0.830977625	0.164954299	0.269002619	0.299938951	0.265179913	0.469834568	1.940262274	0.611811981	0.580754293	0.37578393	0.1955831	0.819799936	0.636557792	0.096182944	0.278630268	0.25525971	0.136403328	0.092974141	5.273881335	5.374756792	0.582182826	7.252798013	7.477943912	0.250348485	1.147931515	2.381721373	1.480019526	2.957992729
"OS01G0775500"	4.66877872	5.536256835	6.361967751	4.154266027	4.74119356	2.642494545	2.150913306	8.78210283	6.387468648	3.271399478	7.699920516	11.95568897	25.98094979	5.199350097	3.837953971	7.282791814	11.38950977	12.37419563	6.739189795	495.5761244	3.161038694	1.658891316	7.556190347	4.679456649	4.525721155	3.615217869	2.770165644	5.289575662	18.64387797	3.492624083	4.989535009	3.411616759	3.164803018	3.969122239	5.545433811	2.05583062	5.906149721	4.825009516	6.316448816	4.823084529	14.53417806	7.290349774	3.481267358	2.587212153	1.187879012	2.755619695	11.35560424	1.75181297	2.05529971	2.49227751	2.247971524	3.827232734	35.00402163	29.87571442	8.304342278	23.48628058	141.7636488	8.337832098	1.803643995	12.12475505	25.90144087	37.11154861
"OS01G0785300"	1.074013018	0.650894705	2.093046881	0.905544757	0.618519781	0.533367937	1.033544931	0.576171395	0.424796441	0.404608122	0.988228425	0.934942139	0.460143558	0.582068292	0.575997445	0.557171107	1.329319495	1.083473309	0.808506579	0.606205546	2.053312522	1.037165675	0.662611989	0.355597947	0.505343833	0.705157564	0.897188225	0.799493066	0.711097507	0.420055434	42.85741953	2.391484638	0.371499035	0.441354548	0.398667556	2.364984139	1.053111612	1.146633611	0.405159173	0.486729677	0.40512217	3.487823974	0.176858896	0.184614563	0.753742378	0.263046425	0.20190641	0.305226126	19.55930375	1.113734013	0.358645237	0.209799856	0.555432225	0.592325652	1.619184438	0.393950787	0.360693957	0.942762029	5.577962873	0.993955966	0.604353841	0.407642922
"OS01G0801500"	1.178161516	0.970073836	1.282164776	1.677669258	2.325292458	2.814645948	3.196813354	0.655720822	1.101557429	0.739978428	1.358901752	4.218558357	0.632836022	1.057331733	0.852114778	0.880494847	1.354160774	0.262748461	0.371062888	2.270507172	179.2850251	89.83298079	336.3879797	177.4833266	1.818920463	1.522048275	3.719124956	2.520595403	4.519121781	2.342834495	0.824431334	0.761446235	1.746995448	2.619168745	0.385805062	2.630987541	2.274758431	1.501111943	1.192091429	0.996229553	2.878962779	3.069773942	1.922061393	1.907960769	1.808146881	2.012688697	3.767675099	1.388793585	0.228499754	0.569059333	1.157840796	1.642997842	0.364450748	0.320993769	0.813548374	0.398634439	0.959883852	0.422792169	0.190728743	0.589997928	0.249467288	0.214783376
"OS01G0842500"	9.714156706	26.27428652	9.006737962	13.32617805	18.18526754	18.32653575	22.70230357	15.98438938	45.36414163	9.405490266	20.84277047	15.39774716	11.50105259	1.300856648	1.424438451	1.830145163	2.386287774	1.550088821	1.738583182	4.205242778	683.0475016	212.3046724	493.5775711	841.2087321	16.71030502	10.89174643	25.17299199	16.68869851	13.99371495	29.78509191	1.078044569	5.318332999	12.36815021	20.9642335	17.84819756	21.31804249	12.50563618	44.8879706	7.134327739	16.65825589	9.944148469	38.45511665	21.45713538	16.01437472	20.58857876	16.82147418	13.25709322	28.49525325	0.176739723	5.338068306	15.42553402	22.04378256	4.136002305	4.85958274	40.14495784	4.283869116	1.684928569	17.03223975	0.527020731	1.442803633	3.453890641	8.978735408
"OS01G0854500"	1.305135409	0.767102256	0.945517849	1.20862305	1.135062915	0.946836998	1.138026928	0.805389372	3.692513904	0.962611745	1.43875	0.977113647	0.402495646	0.324283255	0.428888318	0.473481684	0.516441996	0.28703988	0.405368108	1.673097506	173.5727314	140.6421972	69.95201134	604.8572445	1.803706472	0.657541401	2.705114637	1.438913744	0.934920359	3.231110244	1.839502757	2.259499401	2.187320145	1.284231714	0.498990476	1.581512328	2.190266442	2.953100713	0.669735591	0.368659543	0.367293053	3.798075099	0.749847045	0.821891135	1.159160638	0.426264887	0.41198582	1.803977552	0.484840982	0.810804109	1.140964908	1.126779257	0.115758869	0.256629208	0.26733927	0.173705225	0.498312536	0.558902735	0.15032673	0.187556522	0.142541901	0.146145709
"OS01G0907600"	0.315791756	0.520015953	0.880249793	0.63963665	0.243660016	0.16446356	0.322284558	0.213630702	2.399596595	0.235691489	1.15968487	0.218198128	0.144576858	0.164706737	0.170028483	0.187602105	0.230400302	0.220756698	0.152818763	0.154275307	0.310486245	0.170520174	0.20384403	0.588737735	0.126566477	0.118607869	0.153280031	0.245719669	0.134492295	0.44268546	9.6030364	3.967674825	0.234937851	0.102565376	0.156088916	0.179617422	0.187830751	0.365287685	0.537165222	0.184895092	0.264376853	0.347167599	0.088195862	0.152061414	0.106356022	0.429732607	0.091016033	1.08584246	8.994410914	0.077219044	0.106379075	0.392305497	0.8791248	0.682693287	1.13222435	3.89832333	0.10214797	69.49227481	39.9395243	0.118906926	0.575635197	3.188371314
"OS01G0910800"	2.246697088	101.2599398	9.512742627	0.651658204	4.549707494	2.400167736	126.3178934	4.880641128	0.636481916	12.10295599	9.121640415	1.98548275	0.780679655	2.587106244	5.061078507	3.512487065	0.592623594	4.425412879	2.512758697	3.684022165	2.11241077	58.02414195	0.446642253	0.746911236	2.003171119	2.495364697	183.9983398	20.96638955	0.800200206	0.277423379	7.093653028	2.356720179	2.385987367	4.557447327	0.856136715	97.11932422	14.15659798	0.939573862	2.386854807	12.69498541	0.607003519	0.892966324	0.789798103	0.551738275	481.4059496	20.91589765	0.289015047	0.264311268	1.332913392	0.673061218	1.03485808	0.697952602	1.600779277	1.533309115	1305.992132	222.8146113	0.533691002	0.273301458	3.862667069	3.70449218	2.512915963	3.723983306
