RSS1__CON2,RSS1__SUB,RSS1__SUB+R,X35S__CON2,X35S__SUB,X35S__SUB+R,polyA__CON2,polyA__SUB,polyA__SUB+R
OS01G0113350,0.448543348,3.074600248,1.042782199,2.27346071,2.899834665,1.808215617,0.2925513,1.737660842,0.876495553
OS01G0113400,2.611816016,2.958056566,3.547033382,1.901932108,1.556116443,2.019900061,1.612381994,2.131571378,2.162495274
OS01G0113450,3.151621181,4.374929205,4.053162789,2.26582436,1.926045441,2.275018215,2.010609874,2.483507841,2.420740975
OS01G0113500,1.141761775,1.537488643,0.378978822,1.695022926,1.531233433,1.208863658,0.5714582,0.790124213,0.607577678
OS01G0113600,6.666109243,20.30182415,4.098271421,4.73724831,25.56713888,6.471817385,4.578419912,18.03729535,5.579039104
OS01G0113650,8.954053889,26.01362377,6.226346204,6.165901282,33.81738216,8.666413547,5.263841819,23.71552787,6.886736878
OS01G0113700,4.23303847,5.356936039,4.918170835,6.775376585,10.52789882,8.093927141,3.418834229,5.041938614,3.318240458
OS01G0113800,1.353053899,1.688397715,0.50074246,2.587549678,1.915835991,2.204301623,0.453392498,1.031049954,0.645931262
OS01G0114100,4.332863418,11.27136026,4.491943371,3.570716222,11.08121864,3.612702266,3.734284206,9.353805148,2.58808417
OS01G0114200,0.411628405,0.958725162,2.095569625,0.36316262,0.741014976,0.313223872,0.724722262,0.246713626,0.278066291
OS01G0114300,0.417056779,1.665011726,0.769006313,1.414629507,1.678088436,1.235697293,0.555487015,0.84621086,0.759899115
OS01G0115200,5.960364065,136.6342412,37.03487934,4.569169379,54.19421597,13.43004556,7.658225487,91.73885504,15.76073898
OS01G0115300,1.966445025,49.82352705,13.14551799,1.685391703,18.06081768,4.509241806,2.875249166,28.34837172,5.443588853
OS01G0115800,0.759312913,2.468696771,3.160050749,3.101971658,2.918143843,2.419186035,0.864377266,1.60769791,2.609370306
OS01G0115900,0.106159596,0.219282162,0.489856967,1.179177499,0.365572656,1.063361616,0.27657865,0.211050773,0.411949118
OS01G0115950,0.653455695,2.842016026,3.061932259,3.008844383,2.781496023,2.30093559,0.777082599,1.439703783,2.428787527
OS01G0116300,0.149058431,1.149730773,0.351460804,0.243202049,0.087222055,0.087942312,0.247687346,0.102716402,0.145845023
OS01G0116600,11.03040131,30.51966789,18.40417183,14.58121441,25.95907534,16.06926147,15.9415001,26.37063248,17.51239299
OS01G0116900,0.108640047,1.148577285,0.317362561,0.474277397,3.56742653,1.575583768,0.098592902,2.502781861,0.352994148
OS01G0117100,0.170730273,0.367278952,0.670656079,0.106832061,0.178526402,0.154153083,0.152264598,0.167911037,0.184095761
OS01G0117450,0.305128862,0.643000526,0.381109105,2.300715028,1.243730163,1.361272934,0.389811345,0.634306047,0.439281357
OS01G0117600,0.954121246,1.61706455,0.75784482,4.168662752,2.040378927,2.3211985,0.599457523,1.1321759,0.80171883
OS01G0117650,1.027892364,1.837608776,0.78003252,4.33733188,2.169522422,2.414109357,0.575231841,1.212057144,0.795044933
OS01G0117900,0.321323733,1.108772683,3.448852917,0.273891806,0.279154663,0.501261219,0.21252932,0.853648131,0.812854029
OS01G0118000,167.3147084,42.13524842,134.9474957,80.80731616,43.9842337,104.9331245,120.6917337,27.37734554,90.92666055
OS01G0118100,15.45839559,23.97844405,20.39046189,16.53617547,16.44399345,14.63012236,12.61373412,12.81509894,12.76829272
OS01G0118300,10.20204045,4.372878418,6.455892304,0.719097717,0.451610026,0.71279145,6.900303542,1.419773463,3.25447441
OS01G0118400,234.1095791,9.122754348,109.1100302,63.31827516,5.276256317,18.47728012,101.8946123,4.30292071,26.33341411
OS01G0118600,15.03513365,4.93868012,13.90895228,10.06913492,1.074598319,5.214061035,8.654281003,0.733785857,3.662975057
OS01G0118700,108.8280753,75.00620576,76.29836426,70.87987676,95.61910794,64.73418553,66.91632169,69.95609191,46.59081296
OS01G0119000,43.02177864,5.840672844,16.55315319,11.62060169,5.45926487,5.694417015,21.50163523,2.809564711,4.920535379
OS01G0119100,82.79141464,11.81810604,48.54363911,35.9658013,3.566455,20.41688422,41.17400095,3.19939783,18.50185412
OS01G0119500,18.10237836,16.3694145,22.13582766,13.11153429,13.91700543,17.47924675,11.52426331,9.839944005,11.13514978
OS01G0120300,3.510072355,3.493247537,2.121059135,1.808976971,2.951412742,1.922227793,2.413950587,2.209559147,1.964194574
OS01G0120400,23.71586321,36.33858982,21.55797621,35.65639544,45.43870507,33.15228054,25.77230831,35.15317079,31.93095008
OS01G0120500,3.659610332,3.443685239,2.68022457,5.620939162,7.084552343,5.388862829,3.201293639,3.536581959,2.612386724
OS01G0120600,6.319443128,9.530661999,4.049763488,6.738222096,10.08637856,10.53454442,6.609400754,10.43957421,7.003797698
OS01G0120700,27.84285252,140.4959031,49.06981249,23.60063518,57.80936828,29.83872651,46.14247343,151.3282369,53.3774042
OS01G0120800,99.66664122,86.33617728,176.8266468,94.37035091,72.16023204,94.43466514,84.34239181,57.14340684,107.5086299
OS01G0121000,9.770791236,14.39188325,3.39544239,5.902046578,10.57288604,5.325705108,6.821887261,14.95167133,4.831890175
OS01G0121100,26.23360266,56.97818671,35.30739616,29.81693992,45.81962686,35.66281272,32.2756058,57.17659357,34.00200632
OS01G0121200,7.923663185,2.34903097,7.182186923,8.081243526,3.55858453,7.622987855,10.08683398,2.477807472,9.136956622
OS01G0121300,9.76132238,21.95308412,25.03491621,16.47970843,20.42018977,16.73942397,14.96220014,22.72098729,19.717076
OS01G0121400,10.67173926,22.59145403,27.9525526,18.15812062,23.05827707,18.26059926,16.32349924,25.49161555,21.17812154
OS01G0121500,114.1142167,139.0464737,54.72897903,127.9347622,158.4290239,124.3576264,77.34113196,141.1629472,82.93075962
OS01G0121600,104.3708518,159.7747662,92.37466937,102.2067633,149.7649757,134.5798565,79.8426972,159.2314312,111.8119268
OS01G0121700,11.07370027,24.35416093,19.28054289,11.9239755,19.45710444,10.56420991,8.772436437,12.92290362,8.907031524
OS01G0121800,15.35902613,19.54265151,16.75157821,14.43156488,14.63575123,12.40766712,17.43268448,14.99137025,14.79474786
OS01G0124100,7.373041992,51.53680302,13.2448099,0.793712695,63.10264808,6.801895784,1.567469103,47.13338497,13.02516794
OS01G0124200,276.3791106,440.1308297,245.5777231,30.90874345,505.6934285,139.5338742,193.3631522,421.4923817,217.0430777
OS01G0124401,258.9415229,109.8781207,133.5365582,7.268703339,148.861009,26.95924268,165.4382632,148.3114924,123.3448128
OS01G0124600,0.293498765,0.714216076,1.540195191,0.363565814,2.35843287,0.394664177,0.226685995,1.396781676,0.399910303
OS01G0124650,15.45136214,247.9288911,13.21668464,25.24323263,495.4287662,81.99940867,13.1184782,335.675488,35.43995874
OS01G0124700,16.22282408,259.4925181,13.92030875,26.59576755,518.4973379,86.02950502,13.6973649,353.4866473,37.15307266
OS01G0125600,22.92885146,16.16776553,22.96364766,2.722312279,3.688447662,3.66108809,14.60725304,7.223075078,8.821403356
