CMZ__PLATE,QHB__PLATE,RSS1__PLATE,SCR__PLATE,SHR__PLATE,X35S__PLATE,polyA__PLATE
OS01G0121700,17.31018785,10.5849633,22.02531175,15.94863994,14.76656145,24.76907801,14.84048648
OS01G0121800,23.45958872,21.700407,14.3742604,19.55879238,24.05450897,10.79406562,16.06896397
OS01G0124100,10.95910879,16.16904771,58.82332792,6.859988177,7.935337274,100.5700565,30.23166612
OS01G0124200,87.54808455,124.8263744,523.9246271,83.66731908,68.64748973,409.081557,387.0825778
OS01G0124401,64.3511856,55.38563464,269.3012502,47.0869712,71.67479504,84.38365697,199.2855918
OS01G0124600,0.662030056,0.776891967,0.529875171,2.24107389,0.928809649,1.128669337,0.282634785
OS01G0124650,52.46652197,57.91006546,214.3865941,38.62749615,57.63634703,363.5944213,186.3445887
OS01G0124700,53.60410024,60.37350884,220.1912029,39.83224727,58.09999697,378.0373009,189.0302222
OS01G0125600,10.46737602,112.3997742,20.6616444,9.61477265,6.829831729,4.111303346,11.11262025
OS01G0125700,3.788087521,6.264794829,3.714634577,0.445139922,2.091000303,4.842592378,4.247969704
OS01G0125800,24.79538151,112.6833952,39.81366908,22.71186468,23.191371,24.1441973,24.04777382
OS01G0125850,24.70514975,113.8203161,40.01890411,19.12576819,19.727806,25.24697128,23.20837152
OS01G0125900,27.87527055,31.76409002,27.61344906,26.84850643,18.70683285,25.66448288,21.90350838
OS01G0126000,2.727636579,1.05087921,15.09667239,2.712214701,8.354687105,3.807266102,2.909216769
OS01G0126100,7.586560371,3.712853807,33.64794032,7.30943785,11.2406548,7.922738713,9.94516471
OS01G0126200,0.542607658,0.254661466,1.056331629,0.365992341,0.240382985,2.396242879,0.324935915
OS01G0126401,0.491608703,0.210669731,0.245714069,0.355899301,0.292136309,0.648754393,0.054049618
OS01G0126600,0.927253553,0.514824155,0.311013435,1.465634369,0.332629956,0.952359935,0.117627954
OS01G0126900,7.427457618,2.702394354,26.56654768,7.461600223,11.53062168,4.875724087,8.02469139
OS01G0127000,0.885712567,0.212521094,0.264895517,0.22447392,1.753420392,1.510650298,0.452330111
OS01G0127100,0.711690376,0.210128972,0.231145857,0.221947258,0.315289058,1.271231166,0.340857222
OS01G0127200,0.388270131,0.416867669,0.986930856,0.366523062,0.806385778,0.218942713,0.127480432
OS01G0127300,6.214488525,10.51703912,13.33403042,4.29321242,8.729161708,27.12131693,10.21641519
OS01G0127400,2.214668689,1.508136677,0.514536943,1.122869533,2.116022151,3.423955729,0.873899374
OS01G0127600,163.539395,795.9150905,419.2498743,91.49860122,97.00260175,16.38950595,312.7168803
OS01G0127700,2.963811158,1.30906779,1.692264653,2.62694291,2.906866085,4.062372475,1.597304993
OS01G0127900,4.308984085,1.734302763,5.689551893,6.301684053,5.577424584,2.060470468,3.566765598
OS01G0128000,0.75517033,3.433154537,1.290982289,0.615896295,2.278551089,4.307764682,0.610513496
OS01G0128100,1.805600054,3.672465081,1.891633205,0.689098518,2.237379047,1.139974821,1.480783534
OS01G0128200,12.84868358,13.52042543,8.706312572,6.62437619,19.19845636,5.138054615,10.22329416
OS01G0128250,5.528907416,5.608160842,3.572182697,3.356234503,9.043641922,2.368169326,3.658480687
OS01G0128300,30.82926768,12.92912082,11.83282974,25.6933602,31.78444232,5.960215983,6.605019482
